1,31,3,11,10,    76.615
1,31,3,11,11,    37.711
1,31,3,11,12,    18.881
1,31,3,11,13,     8.619
1,31,3,11,14,     5.158
1,31,3,11,15,     4.562
1,31,3,11,16,     3.670
1,31,3,11,17,     3.462
1,31,3,11,18,     3.429
1,31,3,11,19,     3.111
1,31,3,11,20,     3.073
1,31,3,11,21,     2.689
1,31,3,11,22,     3.015
1,31,3,11,23,     2.748
1,31,3,11,24,     2.544
1,31,3,11,25,     2.521
1,31,3,11,26,     2.596
1,31,3,11,27,     2.744
5,31,3,11,10,   380.144
5,31,3,11,11,   190.977
5,31,3,11,12,    94.511
5,31,3,11,13,    43.394
5,31,3,11,14,    26.031
5,31,3,11,15,    23.074
5,31,3,11,16,    18.393
5,31,3,11,17,    17.122
5,31,3,11,18,    16.233
5,31,3,11,19,    16.897
5,31,3,11,20,    15.331
5,31,3,11,21,    14.948
5,31,3,11,22,    15.010
5,31,3,11,23,    13.760
5,31,3,11,24,    13.438
5,31,3,11,25,    13.129
5,31,3,11,26,    13.613
5,31,3,11,27,    13.707
